,train,test
0,6.05,3.9
1,7.07,4.65
2,8.28,6.13
3,9.4,7.99
4,10.33,8.74
5,11.73,10.04
6,13.03,10.04
7,14.24,10.78
8,15.5,11.9
9,16.61,14.87
10,17.68,15.8
11,18.57,16.54
12,19.73,18.03
13,20.94,19.7
14,22.15,21.19
15,23.17,22.49
16,24.43,23.05
17,25.41,24.54
18,26.52,25.84
19,27.97,26.21
20,28.94,26.95
21,30.15,28.25
22,30.9,28.81
23,31.69,29.74
24,32.48,30.48
25,33.04,31.41
26,33.83,31.6
27,34.67,32.16
28,35.27,33.27
29,36.06,33.27
30,36.62,35.32
31,37.55,36.43
32,38.2,37.55
33,39.18,38.48
34,39.83,38.66
35,40.39,39.22
36,41.09,39.59
37,41.93,40.33
38,42.44,40.89
39,42.95,41.45
40,43.83,42.75
41,44.3,42.94
42,44.67,43.31
43,45.23,43.68
44,45.93,43.68
45,46.72,44.24
46,47.18,44.8
47,47.93,45.54
48,48.44,46.28
49,49.09,46.65
50,49.56,47.21
51,50.07,47.4
52,50.35,48.14
53,50.77,48.51
54,51.23,49.81
55,51.56,50.37
56,52.26,51.12
57,52.86,51.49
58,53.61,51.86
59,54.16,52.04
60,54.54,52.6
61,55.05,52.79
62,55.7,52.97
63,56.26,53.9
64,56.77,54.46
65,57.38,55.39
66,57.93,56.13
67,58.54,57.06
68,59.1,57.62
69,59.61,58.36
70,60.4,58.74
71,60.73,59.11
72,61.38,59.67
73,61.75,60.22
74,62.17,60.59
75,62.45,60.78
76,62.96,61.34
77,63.38,61.52
78,63.89,61.9
79,64.31,62.45
80,64.54,62.64
81,64.82,63.01
82,65.15,63.75
83,65.52,63.94
84,65.94,64.13
85,66.59,64.31
86,66.87,64.5
87,67.15,65.43
88,67.47,65.61
89,67.94,65.8
90,68.4,66.17
91,68.68,66.36
92,69.29,66.73
93,69.66,66.73
94,69.89,66.91
